date,ar,avg_15,avg_252,std_252,ar_shift
1987-06-11,0.7692801645392345,0.7716052485805095,0.7571003829054496,0.009077576219107993,1.5978786985591678
1987-06-12,0.769355702583886,0.7714717530594545,0.7572139446319945,0.009051032858508477,1.5752686627423744
1987-06-15,0.7689324608618601,0.7712963465837387,0.7573286734287071,0.009015396898057632,1.5493131708977663
1987-06-16,0.7686951385372087,0.7709252390334043,0.7574426353329942,0.008976608995549355,1.5019707004164755
1987-06-17,0.7681849190850499,0.7705927604667616,0.7575553433588321,0.008932186249927549,1.4595997825319913
1987-06-18,0.7676541184108421,0.770257156257071,0.7576684809839511,0.008878447218660638,1.4178915482722192
1987-06-19,0.7672341135708717,0.7699276397795164,0.7577798316349073,0.00882134652297516,1.3770922741749487
1987-06-22,0.7671797982266774,0.7696166678394061,0.7578925181081687,0.008758860566186652,1.338547364996097
1987-06-23,0.7669630773851108,0.7693045523201064,0.7580038617624292,0.008694627277614556,1.299732604613464
1987-06-24,0.7667428543115474,0.7689462686954445,0.7581165729211605,0.008622498949777891,1.255981106795369
1987-06-25,0.7664014606066258,0.7686022607215179,0.7582297863507672,0.008542551820889675,1.214212636718951
1987-06-26,0.7664156068539748,0.7682760583114914,0.7583459868362001,0.008453130041194478,1.1747212484487055
1987-06-29,0.7663646877514699,0.7679671517573923,0.758463253957087,0.008357664135776115,1.1371476103738754
1987-06-30,0.7668958934242763,0.7677356125681004,0.758584854091893,0.008255521074285312,1.108441053431576
1987-07-01,0.7664650560381266,0.7675176701457836,0.75870655652332,0.00814353209805188,1.0819769009778317
1987-07-02,0.7665876964811835,0.7673381722752469,0.7588311167141517,0.008021676562361723,1.0605084230160713
1987-07-06,0.765944792588595,0.7671107782755608,0.7589101411269016,0.007993111950899443,1.0259630040257934
1987-07-07,0.7656247090479097,0.7668902614879641,0.7589717623749408,0.00798474433788812,0.9917035258661387
1987-07-08,0.7651556642171634,0.7666542965332944,0.7590316426071575,0.007974264727950564,0.955906805980342
1987-07-09,0.764963397653972,0.7664395284378892,0.7590925957492457,0.00796060204936235,0.9229116897297985
1987-07-10,0.7646617821344422,0.7662400393527959,0.7591548126299804,0.007942524225132568,0.8920623371088642
1987-07-13,0.7644514344444607,0.7660545274110351,0.7592027985781351,0.007937830393447748,0.8631740026286914
1987-07-14,0.7645384612378686,0.7658784382784478,0.759237480326114,0.00794198963004742,0.8361831558188673
1987-07-15,0.7640870181903369,0.7656867009987962,0.75927227613881,0.00794395942145613,0.8074594191230721
1987-07-16,0.7638653762859905,0.7654948691304259,0.7593113963069273,0.007942201086131787,0.7785590866360382
1987-07-17,0.7634968127777242,0.7653012259418323,0.7593541887305089,0.007935556452430574,0.7494165339220641
1987-07-20,0.763672544197901,0.765118355098094,0.7594008051448156,0.007926240631109143,0.7213444833907812
1987-07-21,0.7637239962738473,0.7649423089995859,0.759449004545745,0.007915402361518241,0.6940019221950485
1987-07-22,0.7629364100132489,0.7646783434388507,0.7594981560412672,0.00789836265648747,0.6558558555586921
1987-07-23,0.7628464213256463,0.7644371011246852,0.7595493991384783,0.007877922483719426,0.6204303223734274
1987-07-24,0.7626719998798137,0.7641760546845939,0.7596033877663474,0.007852375470307725,0.5823291226377564
1987-07-27,0.7624866168916311,0.7639455096381298,0.7596515313114557,0.007832610319057265,0.5482180463167651
1987-07-28,0.7616927431416608,0.7636833785777132,0.7597055391044546,0.007799374621374893,0.5100203114179119
1987-07-29,0.7616397441581163,0.7634489839071101,0.7597628696787883,0.007760027975411334,0.4750130076852578
1987-07-30,0.7612676442358205,0.7632026003459,0.7598202833867235,0.007717137869128581,0.43828644978692066
1987-07-31,0.7610806383882898,0.7629638574294898,0.7598776009331557,0.007672338676080661,0.4022575940183441
